index,size,value
0,34,4950000
1,34,3089897
2,34,750000
3,34,8184127
4,34,13252669
5,34,399950000
6,34,19220185
7,34,614432
8,34,1224239
9,34,510000
10,34,1359380
11,34,700000
12,34,5472628
13,34,3240654
14,34,699950000
15,34,15840321
16,34,12440000
17,34,49745302
18,34,2000000
19,34,3200000
20,34,250000
21,34,10250000
22,34,150000
23,34,59604942
24,34,155233210
25,34,99225000
26,34,5547000
27,34,9646993
28,34,463130
29,34,150000
30,34,4950000
31,34,139885058
32,34,4842666
33,34,85582146
34,34,3394381
35,34,1172230
36,34,2654745
37,34,16456655
38,34,19633268
39,34,39231495
40,34,10000000
41,34,2500000
42,34,506641520
43,34,1595159
44,34,10000000
45,34,7950000
46,34,39950000
47,34,1790000
48,34,100000000
49,34,2441770
50,34,350061208
51,34,108950000
52,34,1826759
53,34,256869
54,34,61138700
55,34,950000
56,34,150000000
57,34,18958531
58,34,6187072
59,34,4424100
60,34,1670468
61,34,5604429
62,34,5151657
63,34,150000
64,34,70610000
65,34,15000000
66,34,296696
67,34,8113572
68,34,51589419
69,34,7331909
70,34,6293063
71,34,3170178
72,34,2297568
73,34,891951
74,34,379501
75,34,4950000
76,34,18427104
77,34,650000
78,34,3950000
79,34,416950000
80,34,245344
81,34,2830000
82,34,538879
83,34,16539326
84,34,9950004
85,34,4050000
86,34,90738534
87,34,10000000
88,34,8008960
89,34,199950000
90,34,3053466
91,34,30000000
92,34,3950000
93,34,4575892
94,34,680000
95,34,9147393
96,34,1059213
97,34,60212134
98,34,166950000
99,34,706155
