index,value,confirmations,vout,tx_id
0,342623255,278,1,777056ab30944485da1453e088da35d54d79b77c949a2def8e0c38668596531e
1,345403195,4825,1,01f6aa90d4b7e7fac3fea33204dc095cb864123316b59512728a5fff0797fc46
2,343054898,3792,1,18d682169a6a7aba2a6bbd50d8f77dedccabda951a472f2f9d013974c7aed475
3,342710537,2580,1,19e453d4a056d915b9a90a3f439109db770183f9e3abe08e1cc2a224ea65bd79
4,344965620,5922,0,99b2b4282058796635ee8d30c52b20cb8b195f2f0a4280174d39d22456d2f79c
5,171120431,7674,0,62829e41c7adeaed730be50afa081154852394387c3535291fc1c36af707bba9
6,342745966,4967,1,8ba2edc4d4f28ba21da0280b5dc9e78ccd2e51e24aadb44b1ba5ea2db473e3b8
7,343041556,3533,1,b79622c34b87ed5dfd02e73ab1eeb3cac1aa548388f0e709f366f032b5cec8bd
8,342847390,6349,0,f58752b40b5b3af75fff649ff74d38f6859fba74a8770b64bce3a2687a80c5d0
9,342519047,2529,1,9e6b8763fb394858f919f3ca46581090afa6b7f805cc4070e0598a90d06e6bdd
